Global market share of search engines as of January 2015,,,,,
Worldwide market share of leading search engines from January 2010 to January 2015,,,,,
,Google,Yahoo!,bing,Baidu,
Jan '10,90.77,4.12,3.41,0.37,in %
Apr '10,90.39,4.29,3.57,0.42,in %
Jul '10,90.59,3.89,3.74,0.37,in %
Oct '10,91.22,3.6,3.47,0.28,in %
Jan '11,90.11,3.96,4.27,0.33,in %
Apr '11,90.29,3.81,3.99,0.54,in %
Jul '11,91.01,3.55,3.41,0.32,in %
Oct '11,90.78,3.71,3.54,0.28,in %
Jan '12,91.53,3.33,3.56,0.23,in %
Apr '12,91.7,3.36,3.5,0.26,in %
Jul '12,91.17,2.95,3.22,0.45,in %
Oct' 12,90.73,2.92,3.36,0.54,in %
Jan '13,90.47,2.88,3.19,0.63,in %
Apr '13,90.17,3.08,3.61,0.92,in %
Jul '13,90,2.87,3.86,1.08,in %
Oct '13,87.72,3.26,3.91,1,in %
Jan '14,88.99,2.65,4.04,0.92,in %
Apr '14,88.21,3.34,4.29,0.69,in %
Jul '14,88.15,4.01,4.61,0.55,in %
Oct '14,88.73,3.82,4.43,0.5,in %
Jan '15,88.1,4.13,4.53,0.61,in %
